time,time_string,Open,High,Low,Close,Volume
1622505600000,2021-05-31 20:00:00,37266.5,37275.44,37128.92,37145.26,25.908523
1622505660000,2021-05-31 20:01:00,37141.76,37266.43,37126.13,37200.77,13.744441
1622505720000,2021-05-31 20:02:00,37200.77,37466.43,37200.77,37462.43,38.287298
1622505780000,2021-05-31 20:03:00,37462.43,37632.65,37439,37607.96,176.633181
1622505840000,2021-05-31 20:04:00,37609.48,37626.48,37527.69,37619.11,26.670488
1622505900000,2021-05-31 20:05:00,37619.11,37680.22,37565.11,37643.5,45.291732
1622505960000,2021-05-31 20:06:00,37643.5,37643.51,37556.9,37587.42,15.275489
1622506020000,2021-05-31 20:07:00,37583.37,37587.11,37520.01,37536.84,7.868505
1622506080000,2021-05-31 20:08:00,37535.68,37625.04,37525.78,37611.26,8.892592
1622506140000,2021-05-31 20:09:00,37604.36,37640.34,37539.16,37560.81,18.60307
1622506200000,2021-05-31 20:10:00,37560.81,37642.77,37546.4,37627.63,11.419021
1622506260000,2021-05-31 20:11:00,37625.7,37660.52,37595.44,37600.88,10.964355
1622506320000,2021-05-31 20:12:00,37599.15,37600.25,37576.34,37580.37,6.252523
1622506380000,2021-05-31 20:13:00,37580.37,37598.05,37563.7,37575.78,6.01944
1622506440000,2021-05-31 20:14:00,37575.78,37585.11,37533.89,37539.84,10.998891
1622506500000,2021-05-31 20:15:00,37541.19,37618.27,37515.03,37600.83,16.025201
1622506560000,2021-05-31 20:16:00,37600.83,37605.64,37546.05,37549.1,12.75513
1622506620000,2021-05-31 20:17:00,37549.1,37568.69,37517.37,37525.89,11.084655
1622506680000,2021-05-31 20:18:00,37525.89,37532.55,37488.47,37525.16,13.896136
1622506740000,2021-05-31 20:19:00,37525.82,37544.55,37487.46,37491.03,8.136378
1622506800000,2021-05-31 20:20:00,37491.03,37544.99,37475.8,37543.75,7.37286
1622506860000,2021-05-31 20:21:00,37543.75,37599.98,37515.1,37561.85,16.758289
1622506920000,2021-05-31 20:22:00,37561.84,37665.09,37559.34,37597.15,25.312863
1622506980000,2021-05-31 20:23:00,37592.81,37605.52,37578.34,37585.08,5.297486
1622507040000,2021-05-31 20:24:00,37585.09,37621.03,37585.09,37618.34,5.559109
1622507100000,2021-05-31 20:25:00,37618.34,37700,37618.34,37660.55,18.607128
1622507160000,2021-05-31 20:26:00,37660.55,37673.43,37621.82,37636.07,6.709929
1622507220000,2021-05-31 20:27:00,37636.07,37650.67,37612.71,37617.42,6.077972
